X,Y
1178996.5812312982,1876167.9600684713
1173138.6479107593,1835779.0045505874
1148520.349011974,1900664.418085121
1168714.5057012427,1861156.7202063843
1156739.1765783972,1869314.2680641485
1164526.6687950161,1881758.8365252195
1165690.184932587,1939052.0556416684
1176001.9683798964,1832169.9082849903
1160227.7911927523,1939503.3847002368
1169264.723402809,1880823.5108527169
1175179.1976159413,1903864.827529158
1171326.7849546862,1881242.560815452
1161972.71457,1869647.08735
1174530.3193847765,1869475.4248192336
1186206.4652707586,1843446.3561970955
1174773.156986165,1865196.5142905703
1161751.690515,1869729.9143670592
1177317.8970847088,1860057.1617958308
1167576.7126962922,1866324.3104195455
1147822.6053032482,1893316.7584433455
1147255.8250126822,1898363.149998098
1163468.0546729008,1945170.5918641211
1164643.3279006283,1928186.5231202368
1148684.5628341439,1897254.9899914232
1168338.7738692504,1872747.5154059168
1171705.0792040278,1917213.880703369
1137990.082168688,1930973.762387407
1137070.2423228808,1926630.5233500644
1159242.1015352418,1934794.9657018154
1156564.7511203839,1910581.9866476161
1165942.9099616222,1917476.211592276
1139400.1494923346,1912581.0626249937
1189282.6746666662,1838368.6002566665
1153642.0039151756,1896248.3663359676
1155452.6174759592,1939292.6214427792
1168372.6553764516,1860885.1939074744
1152083.1898141059,1859752.9108045264
1186357.0802483945,1839630.7119017772
1195899.89542695,1845499.400273212
1170701.5068725056,1837147.9510815584
1126489.5191874602,1936956.2605151196
1140725.9506772452,1917036.347560015
1185414.6252475146,1825741.3234342353
1164982.767694916,1911747.7564235185
1163495.4253526616,1911279.1299476835
1161603.3183407097,1883225.870096976
1154990.7611764804,1854137.9238745468
1153217.696586034,1862450.2322460294
1156956.9976550974,1896856.9795334665
1163657.3700302867,1914920.0671766002
1170434.6007326862,1896452.0587210471
1172793.6575391358,1870031.020556502
1170467.116998841,1839936.9323868367
1170793.6827734876,1883096.442900361
1148234.0409083837,1914165.5626987303
1147659.4697114099,1902274.5734532229
1176103.9976998235,1869942.0368173274
1167886.25595,1911950.806165
1164519.860794805,1941811.6606292804
1175640.3749950428,1884560.329022133
1130960.861740685,1935804.2379668965
1132254.9325868108,1938036.0069687678
1163677.9622001846,1937819.7339023855
1161383.4480177409,1942856.6633174866
1171967.8945330163,1884732.926813865
1167939.9708839683,1908985.336780564
1148761.7810337534,1914774.4736173153
1140183.5146834417,1915296.8648305736
1174364.9770350056,1883168.5952761692
1165736.6064564695,1898107.8375007273
1168631.0629265232,1895594.7471272
1176291.6402731864,1861808.7604597078
1180344.576215712,1869572.0038525225
1160550.702614554,1868590.0336133917
1183714.0067489885,1859164.0859438635
1175899.6046439996,1838000.4242701696
1171266.9065245197,1840662.8343557399
1200290.367384078,1835186.8401913322
1199006.0285955176,1824335.1647977165
1190958.5284259825,1841797.8702636862
1189074.2930370413,1830958.5091437616
1167072.81656,1912069.4182000007
1165567.1581669555,1912114.2378479915
1147813.5768600074,1902964.4051500172
1167529.8045933333,1911645.5330466665
1184563.2140238213,1885970.5128764014
1166017.0173000002,1888568.7677500003
1136538.8020255743,1942129.247570012
1165327.4562200003,1878379.7618200001
1167602.7760322224,1911864.0916835186
1163541.4559851247,1941694.4950824846
1166971.4456200001,1912153.53517
1167486.7963100001,1911691.8414999999
1144857.072828397,1908404.0273002002
1152130.8051839606,1911133.104720006
1160224.2688599997,1903414.6320899997
1161156.59554,1898092.0326200004
1147980.9557789455,1901799.2391618632
1173907.362792231,1883983.6408991816
1163752.6068150147,1885237.301861737
1175383.8917435752,1870042.2230697165
1173931.369741444,1866810.2067441703
1189349.9929099998,1838536.76705
1156542.3233094544,1863777.3429542254
1185894.5668956041,1860119.450469811
1185273.3967499998,1837400.6564200001
1192243.3360801553,1839528.0655765051
1179816.3128017834,1845114.3026291914
1200079.9209854929,1836406.2569515835
1179663.1882399959,1839699.821259989
1140951.1868247306,1932315.27289836
1177748.53915,1846241.25212
1163799.9678700003,1943281.09661
1157120.0568225975,1934852.6613247436
1164968.5758490295,1905799.8273347449
1161960.704470003,1919111.4027000056
1143263.0263616173,1913740.4700517503
