object_id,X,Y
11349,1183714.0067489885,1859164.0859438635
11350,1175899.6046439996,1838000.4242701696
11351,1171266.9065245197,1840662.8343557399
11352,1200290.367384078,1835186.8401913322
11353,1199006.0285955176,1824335.1647977165
11354,1190958.5284259825,1841797.8702636862
11355,1189074.2930370413,1830958.5091437616
11356,1167072.81656,1912069.4182000007
11357,1165567.1581669555,1912114.2378479915
11358,1147813.5768600074,1902964.4051500172
11359,1167529.8045933333,1911645.5330466665
11360,1184563.2140238213,1885970.5128764014
11361,1166017.0173000002,1888568.7677500003
11363,1136538.8020255743,1942129.247570012
11364,1165327.4562200003,1878379.7618200001
11365,1167602.7760322224,1911864.0916835186
11366,1163541.4559851247,1941694.4950824846
11367,1166971.4456200001,1912153.53517
11368,1167486.7963100001,1911691.8414999999
11369,1144857.072828397,1908404.0273002002
11370,1152130.8051839606,1911133.104720006
11371,1160224.2688599997,1903414.6320899997
11372,1161156.59554,1898092.0326200004
11373,1147980.9557789455,1901799.2391618632
11374,1173907.362792231,1883983.6408991816
11375,1163752.6068150147,1885237.301861737
11376,1175383.8917435752,1870042.2230697165
11377,1173931.369741444,1866810.2067441703
11378,1189349.9929099998,1838536.76705
11379,1156542.3233094544,1863777.3429542254
11380,1185894.5668956041,1860119.450469811
11381,1185273.3967499998,1837400.6564200001
11382,1192243.3360801553,1839528.0655765051
11383,1179816.3128017834,1845114.3026291914
11384,1200079.9209854929,1836406.2569515835
11385,1179663.1882399959,1839699.821259989
11600,1140951.1868247306,1932315.27289836
11601,1177748.53915,1846241.25212
11602,1163799.9678700003,1943281.09661
11603,1157120.0568225975,1934852.6613247436
11604,1164968.5758490295,1905799.8273347449
11605,1161960.704470003,1919111.4027000056
11606,1143263.0263616173,1913740.4700517503
11607,1140920.8323275442,1914540.7683155648
11608,1162599.1179799999,1899075.99549
11610,1148081.54711,1902960.08757
11612,1173019.7315595043,1881580.156518894
11613,1166050.82666,1876844.61063
11614,1164461.2704277753,1863577.7586791886
11615,1165233.220936897,1865320.015979816
11616,1149604.2715486134,1857727.9750423585
11617,1147128.60864,1856943.4140200017
11619,1178342.63802,1876195.4509899998
11620,1172847.7728400005,1825091.03657
11621,1191373.52774,1824401.6743699997
11622,1185280.2479300003,1837397.7996700003
11623,1162806.377727976,1846443.6041401166
11624,1180040.957234109,1880322.0895671176
11625,1175982.295624121,1895168.7262458147
11626,1177863.0820819922,1895105.0927152757
11627,1177713.0896768572,1894859.089726857
11628,1133688.8907703918,1928987.350241978
11629,1166397.555550334,1940688.438768459
11630,1168388.4263088002,1915184.586893685
11631,1131699.3432515047,1922284.699660088
11632,1145108.5855970685,1902592.5473820798
11633,1171785.5888237548,1879186.927210982
11634,1151351.486557984,1862408.3948356889
11635,1175484.0595916985,1867486.3591592764
11636,1187977.0315691114,1835756.7937263842
11637,1164585.0770532733,1835143.8866926038
11638,1131747.9822731388,1933212.1979217601
11639,1140450.614908768,1928836.998182691
11640,1143211.574105831,1933097.2031601022
11641,1156871.9927386085,1933974.4503317743
11642,1164141.9030312693,1937804.295164189
11643,1162451.6885174504,1938670.245038575
11644,1168243.3079195083,1918148.4708884307
11645,1160610.1003526659,1915902.7900907015
11646,1161819.4828745543,1914217.019320883
11647,1130073.5262176844,1919090.2930033938
11648,1134127.039330014,1918120.9822986815
11649,1146845.1510762926,1907157.3145089657
11650,1162670.2881458446,1901760.9068266079
11651,1159585.4395664257,1898326.2706128322
11653,1148888.7533451144,1900130.928848013
11654,1178677.569289484,1879235.5331135876
11655,1173997.7646666318,1880204.4588497777
11656,1163643.5788298494,1867724.5690790196
11657,1170782.8171660167,1871003.9243307775
11658,1146470.624441776,1860345.4944315841
11659,1151378.823779624,1858207.4903286719
11660,1173856.024754032,1858053.9449021812
11661,1178981.5861364112,1856216.9833695646
11662,1194460.351438657,1843920.216600051
11663,1175611.6272997982,1828987.075799181
11664,1180247.1231231736,1844478.2094571725
11667,1158169.823418383,1832857.0563375412
11668,1176424.2780170995,1898432.519814219
11669,1177263.6569981554,1903371.82478913
11670,1174441.1507698353,1894151.4836471057
11671,1176577.9804173282,1900370.4083003285
11672,1174250.6302280147,1897276.9597249313
11673,1174447.4230068314,1913647.237683706
11674,1179643.5202699997,1890827.96797
11675,1176766.8206008023,1905607.4568196444
11676,1174088.4784256455,1919469.8697145719
11677,1188825.7157705782,1870544.3089779315
11678,1172436.882067435,1924505.4813302564
11679,1185443.8214420793,1874509.6075216064
11681,1198980.8469628522,1846343.4477697897
11682,1175015.2093548777,1888813.1827967686
11684,1169979.7457701014,1903904.7535223234
11685,1176979.3818731867,1899337.329217092
11686,1136090.8851198035,1939474.2139415178
11687,1160638.8651876834,1934821.2734005323
11688,1158472.0270764434,1912963.583070005
11689,1144292.769033409,1910174.4002585069
11691,1151193.542079595,1898133.5462769282
11692,1155007.5406584658,1883597.2007734259
11693,1179058.4051613421,1875523.1926351304
11695,1184707.743142713,1863408.8923028728
11696,1178675.5815704311,1834958.6733626262
11697,1173304.6897489151,1828878.377957617
11700,1136314.397195434,1933790.9012378098
11701,1164349.3818686218,1939474.0641631326
11702,1158534.8442970586,1917072.9543762845
11703,1143418.4309147978,1913543.2483068365
11704,1159291.6784129913,1905413.5194148726
11705,1148692.8027604627,1900171.5439207745
11706,1169124.9711073015,1880218.6990838086
11707,1161760.8490064966,1868850.5027677054
11708,1151306.0254195877,1865395.4783640648
11709,1180891.6739197916,1859692.9182883503
11710,1180703.4321429615,1834067.299170929
11711,1158302.0468964276,1830896.865458319
11712,1173373.2326827855,1897112.4777249494
11713,1173009.2370891832,1893747.475157126
11714,1175148.0209111082,1907347.0733846165
11715,1175320.2134193971,1899361.0890887098
11716,1180625.6292919435,1888668.7355988605
11717,1176515.8574088675,1909519.4296343166
11718,1181142.99421633,1888500.5229178062
11719,1185555.2816418477,1877128.0780444108
11720,1137040.5982170478,1931030.8985806343
11721,1162771.0983739996,1928152.0775315403
11722,1158572.5249059116,1911726.582208357
11723,1148157.1059962618,1908853.686605375
11724,1167351.2703406313,1895719.3319549134
11725,1155247.5975177048,1890926.0916644253
11726,1167147.9608500001,1878603.4487400006
11727,1167192.51124,1863638.924243333
11728,1137560.3881073545,1867613.6681388803
11730,1176956.7950924681,1835634.7867989955
11731,1171703.707173465,1826523.723119946
11732,1176039.0423632842,1891752.7334753189
11733,1174617.696594178,1903203.286892496
11734,1175863.005449209,1902956.7414156361
11735,1177018.267028967,1890888.2513024444
11736,1182284.8185215122,1883787.9289668158
11737,1181533.217994858,1886946.34000275
11738,1177221.3031456748,1902449.9782005595
11739,1172352.2955283409,1919542.511067377
11742,1167368.7383076847,1917089.3723192331
11746,1170713.4282506616,1884994.3720448387
11751,1171838.2623447308,1835099.3285860969
11752,1183534.0211599397,1879990.2036134403
11754,1176922.7457271058,1899852.6377261996
11755,1176184.6942849543,1895425.016872154
11758,1178079.7589259231,1901593.0859287176
11856,1155298.72985,1882894.1717599998
11861,1189815.1441799998,1839052.47124
11862,1189475.8139133332,1839137.81685
11863,1189456.36497,1838331.6175449998
11864,1172041.037714,1875586.013716
11867,1127415.570679657,1937173.5976843305
11869,1179320.0736412688,1864793.8553624467
11874,1189830.20235,1839047.865495
11875,1169674.3245636667,1863979.2400804702
11877,1165844.1319881817,1913212.863623355
11878,1172588.7640811265,1832451.0885993436
11880,1147180.3857499256,1905423.9352337248
11881,1164192.067626202,1934975.7182724997
11882,1127983.102993562,1943131.737093333
11883,1190247.432934587,1836922.986999159
11885,1160775.1729639326,1944239.3137637354
11886,1177943.3220375846,1903161.429486358
11887,1182944.290482347,1875172.2638271344
11888,1189419.74486,1838288.1145549999
11889,1162594.941565194,1868042.7719247777
11890,1165858.877601672,1904570.7217409788
11891,1180329.4848633183,1865533.8882776052
11892,1183717.3891372376,1833022.8061919464
11893,1170539.4340595547,1839564.5639618537
11894,1168743.1953932259,1913015.4216372578
11895,1145293.583611923,1904559.0196346156
11896,1183547.8195866665,1845010.40503
11897,1170704.0242879028,1876288.670000949
11898,1164050.6505587066,1869405.4000484345
11900,1133396.9258743068,1928913.61181014
11902,1163914.428475784,1942187.3719159935
11903,1159890.1131653208,1932933.5327213109
11904,1178430.3043378827,1901124.5783131085
11905,1167837.0283174638,1918977.5079766945
11906,1160824.3532334948,1910601.328615727
11907,1149093.0009860052,1911708.6373009607
11909,1146157.7230245967,1913730.8722144107
11910,1169108.7474244789,1916076.9981559517
11911,1166278.5534830114,1915274.3982195558
11912,1148463.020550813,1899342.6939185942
11914,1166250.7047272192,1882393.7490578785
11915,1180246.6775595874,1865620.3127615678
11916,1157707.0210598856,1870698.7190298766
11917,1160788.0308428747,1866297.1309505978
11918,1179651.5225067604,1863640.8598379605
11919,1176421.2125857186,1860857.578603674
11920,1170121.294285386,1840627.0806324543
11921,1185891.7909737488,1834481.6899601663
11922,1191148.109658723,1839944.2476991303
11923,1164641.4676999194,1832101.3567190266
11924,1166795.8553329017,1833749.1624993694
11925,1133505.4389717677,1924510.076351174
11926,1157767.1452872232,1913562.6254407398
